城乡居民健康档案编号,HEALTH_FILE_NO
患者身份证件号码,IDENTITY_NO
身份证件类别代码,IDENTITY_TYPE
居民健康卡号,HEALTH_CARD_NO
医疗保险类别代码,PAYMENT_TYPE
患者姓名,PATIENT_NAME
出生日期,BIRTHDAY
性别代码,PATIENT_SEX
婚姻状况代码,MARITAL_STATUS_CODE
民族,NATION
职业类别代码,OCCUPATIENTION_CLASS_CODE
工作单位名称,OCCUPATION_NAME
工作单位电话号码,WORKUNIT_PHONE
地址类别代码,ADDRESS_TYPE_CODE
地址-省（自治区、直辖市）,ADDRESS_PROVINCE
地址-市（地区、州）,ADDRESS_CITY
地址-县（区）,ADDRESS_COUNTY
地址-乡（镇、街道办事处）,ADDRESS_TOWNSHIP
地址-村（街、路、弄等）,ADDRESS_VILLAGE
地址-门牌号码,ADDRESS_DOORS
邮政编码,ZIP_CODE
患者电话号码,CURRENT_PHONE
联系人姓名,CONTACT_NAME
联系人电话号码,CONTACT_PHONE
建档日期时间,INPUT_DATE
建档医疗机构组织机构,INPUT_ORGAN_CODE
建档者姓名,INPUT_NAME
居民健康卡号,HEALTH_CARD_NO
ABO血型代码,ABO_BLOOD_CODE
Rh血型代码,RH_BLOOD_CODE
疾病史（含外伤）,DISEASE_HISTORY
传染病史,INFECT_HISTORY
预防接种史,PREVENT_HISTORY
手术史,OPERATION_HISTORY
输血史,BLOOD_TRANSFUSION_HISTORY
过敏史,ALLERGY_HISTORY
个人史,PERSON_HISTORY
婚育史,MARITAL_HISTORY
月经史,MENSTRUATION_HISTORY
家族史,FAMILY_HISTORY
居民健康卡号,HEALTH_CARD_NO
医疗机构组织机构代码,ORGAN_CODE
医疗机构科室名称,DEPT_NAME
患者类型代码,VISIT_TYPE_NO
门（急）诊号,OUTP_NO
住院号,INP_NO
就诊日期时间,VISIT_DATETIME
入院日期时间,INP_DATETIME
出院日期时间,DISHOSPITAL_DATETIME
发病日期时间,MORBIDITY_DATETIME
就诊原因,CLINIC_REASON
西医诊断编码,WESTERN_DIAGNOSIS_CODE
中医病名代码,CHINESE_DIAGNOSIS_CODE
中医证候代码,CHINESE_SYNDROME_CODE
其他西医诊断编码,EXCLUDE_MAIN_WM_DIAGNOSIS
手术及操作编码,OPERATION_CODE
关键药物名称,DRUG_NAME
关键药物用法,DRUG_USAGE
药物不良反应情况,ADVERSE_DRUG_REACTIONS
中药使用类别代码,TCD_TYPE_CODE
其他医学处置,CHINESE_MEDICINE_TYPE_NAME
根本死因代码,OTHER_MEDICAL_TREATMENT
病情转归代码,UNDERLYING_DEATH_CODE
责任医师姓名,RESPONSIBLE_DOCTOR
居民健康卡号,HEALTH_CARD_NO
门（急）诊号,OUTP_NO
住院号,INP_NO
医疗付费方式代码,PAY_WAY
门诊费用金额,OUTP_COST_AMOUNT
住院费用金额,INP_COST_AMOUNT
个人承担费用金额,PERSONAL_COST_AMOUNT
