医疗机构组织机构代码,ORGAN_CODE
门（急）诊号,OUTP_NO
科室名称,DEPT_NAME
患者姓名,PATIENT_NAME
性别代码,PATIENT_SEX
出生日期,PATIENT_BIRTHDAY
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
过敏史标志,ALLERGY_HOSTORY_FLAG
过敏史,ALLERGY_HISTORY
就诊日期时间,VISIT_DATETIME
初诊标志代码,NEWLY_DIAGNOSED_CODE
收人观察室日期时间,IN_OBSERVATION_DATETIME
主诉,CHIEF_COMPLAINT
现病史,PRESENT_DISEASE_HISTORY
既往史,PAST_HISTORY
体格检查,PHYSICAL_EXAMINATION
中医“四诊”观察结果,TCM_FOUR_OBSERVATIONS
辅助检杳项目,AUXILIARYEXAMI_ITEM
辅助检查结果,AUXILIARYEXAMI_RESULT
初步诊断-西医诊断编码,EMERGENCY_PD_WM_DIS_CODE
初步诊断-西医诊断名称,INHOS_DIAG_WM_DIAG_NAME
初步诊断-中医病名代码,EMERGENCY_PRELIMINARY_TCM_DISEASES_CODE
初步诊断-中医病名名称,INHOS_DIAG_CM_DIS_NAME
初步诊断-中医证候代码,EMERGENCY_PRELIMINARY_TCM_SYNDROMES_CODE
初步诊断-中医证候名称,INHOS_DIAG_CM_SYNDROME_NAME
辨证依据,DIALECTICAL_ACCROD
治则治法,THERAPEUTIC_PRINCIPLE
医嘱项目类型代码,ORDER_ITEM_TYPE_CODE
医嘱项目内容,ADVICE_ITEM_CONTENT
医嘱备注信息,ADVICE_REMARK
医嘱开立科室,ADVICE_OPENDEPT_NAME
医嘱开立者签名,ADVICE_OPENDOCTOR_SIGN
医嘱开立日期时间,ADVICE_OPEN_DATETIME
医嘱审核者签名,CHECK_PERSON_SIGN
医嘱审核日期时间,CHECK_ADVICE_DATETIME
医嘱执行科室,EXEC_DEPT_NAME
医嘱执行者签名,EXEC_PERSON_SIGN
医嘱执行日期时间,ADVICE_EXEC_DATETIME
医嘱执行状态,ADVICE_EXEC_STATUS
取消医嘱者签名,CANCEL_PERSON_SIGN
医嘱取消日期时间,CANCEL_ADVICE_DATETIME
电子申请单编号,APPLY_NO
急诊留观病程记录,EMERGENCY_OBSERVATION_COURSE
抢救开始日期时间,RESCUE_BEGIN_DATETIME
抢救结束日期时间,RESCUE_END_DATETIME
急诊抢救记录,EMERGENCY_RESCUE_RECORD
手术及操作名称,OPERATION_NAME
手术及操作编码,OPERATION_CODE
手术及操作目标部位名称,OPERTATION_TARGET_NAME
介入物名称,INTER_NAME
手术及操作方法,OPERATION
手术及操作次数,OPERATION_TIMES
记录日期时间,CREATE_DATETIME
注意事项,MATTERS_NEEDING_ATTENTION
参加抢救人员名单,RESCUE_PERSONNEL_LIST
专业技术职务类别代码,PROFESSIONAL_CATAGORY_CODE
