医疗机构组织机构代码,ORGAN_CODE
门（急）诊号,OUTP_NO
处方编号,RECIPE_NO
处方类别代码,PRESCRIPTION_CATEGORY_CODE
处方开立日期,RECIPE_OPEN_DATE
处方有效天数,RECIPE_EFFECTIVE_DAY
处方开立科室名称,RECIPE_OPENDEPT_NAME
患者姓名,PATIENT_NAME
性别代码,PATIENT_SEX
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
西医诊断编码,WESTERN_DIAGNOSIS_CODE
中医病名代码,CHINESE_DIAGNOSIS_CODE
中医证候代码,CHINESE_SYNDROME_CODE
药物名称,DRUG_NAME
药物规格,DRUG_SPEC
药物剂型代码,DRUG_DOSAGE_CODE
药物使用次剂设,DRUG_DOSAGE
药物使用剂量单位,DOSAGE_UNIT
药物使用频次代码,DRUG_USAGE_FREQUENCY
用药途径代码,ROUTE_ADMINISTRATION
药物使用总剂量,USAGE_DOSAGE_TOTAL
处方药品组号,RECIPE_GROUP_NO
中药饮片处方,TCD_DECOCTIONPIECES
中药饮片剂数（剂）,TCD_DECOCTIONPIECES_FORM
中药饮片煎煮法,TCD_DECOCTIONPIECES_DECOCTION
中药用药方法,TCD_USAGE
治则治法,THERAPEUTIC_PRINCIPLE
处方开立医师签名,RECIPE_OPENDOCTOR_NAME
处方审核药剂师签名,CHECK_PERSON_NAME
处方调配药剂师签名,ALLOCATE_PERSON_NAME
处方核对药剂师签名,VERIFY_PERSON_NAME
处方发药药剂师签名,DISPENSING_PERSON_NAME
处方备注信息,RECIPE_REMARK
处方药品金额,RECIPE_COSTS_AMOUNT
