医疗机构组织机构代码,ORGAN_CODE
门（急）诊号,OUTP_NO
住院号,INP_NO
患者类型代码,VISIT_TYPE_NO
患者姓名,PATIENT_NAME
性别代码,PATIENT_SEX
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
电话号码,PATIENT_PHONE
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,ROOM_NO
病床号,BED_NO
电子申请单编号,APPLY_NO
检查申请机构名称,EXAMINATION_APPLY_ORGAN
检查申请科室,EXAMINATION_APPLY_ROOM
疾病诊断编码,DIAG_CODE
诊断机构名称,DIAGNOSIS_ORGAN_NAME
诊断日期,DIAGNOSIS_DATE
主诉,CHIEF_COMPLAINT
症状开始日期时间,START_SYMPTOMS_DATE
症状停止日期时间,STOP_SYMPTOMS_DATE
症状描述,SYMPTOM_DESC
特殊检查标志,SPECIAL_EXAMINATION_FLAG
操作编码,OPERTOR_CODE
操作名称,OPERATION_NAME
操作部位代码,OPERATION_POSITION_CODE
介入物名称,INSERTION_NAME
操作方法描述,OPERATOR_DESC
操作次数,OPERATOR_NUMBER
操作日期时间,OPERATOR_DATE
麻醉方法代码,ANESTHESIA_METHOD_CODE
麻醉观察结果,ANESTHESIA_OBSERVATION_RESULT
麻醉中西医标识代码,ANESTHESIA_DOCTOR_FLAG_CODE
麻醉医师签名,ANESTHESIA_DOCTOR_SIGN
诊疗过程描述,DIAG_DESC
标本类别,SAMPLE_TYPE
检查标本号,EXAMINATION_INSPECTION_NO
标本状态,SAMPLE_STATE
标本固定液名称,SPECIMEN_FIXATIVE_NAME
标本采样日期时间,SPECIMEN_SAMPLE_DATE
接收标本日期时间,RECEIVE_SPECIMEN_DATE
检查方法名称,INSPECTION_METHOD_NAME
检查类别,EXAMINATION_TYP
检查项目代码,EXAMINATION_ITEM_CODE
检查结果代码,EXAMINATION_RESULT_CODE
检查定量结果,INSPECTION_QUANTIFY_RESULT
检查定量结果计量单位,EXAMINATION_QUANTIFY_UNIT
检查技师签名,INSPECT_ENGINEER_NAME
检查医师签名,EXAMINATION_DOCTOR
检查日期,EXAMINATION_DAT
检查报告单编号,EXAMINATION_REPORT_NO
检查报告机构名称,EXAMINATION_REPORT_ORGAN
检查报告科室,EXAMINATION_REPORT_ROOM
检查报告结果-客观所见,OBJECTIVE_EXAMINATION_RESULT
检查报告结果-主观提示,SUBJECTIVE_EXAMINATION_RESULT
检查报告备注,EXAMINATION_RT_REMARKS
检查报告日期,EXAMINATION_RT_DATE
报告医师签名,REPORT_DOCTOR
审核医师签名,REPORTAUDIT
