医疗机构组织机构代码,ORGAN_CODE
门（急）诊号,OUTP_NO
住院号,INP_NO
患者类型代码,VISIT_TYPE_NO
患者姓名,PATIENT_NAME
性别代码,PATIENT_SEX
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
电话号码,PATIENT_PHONE
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,ROOM_NO
病床号,BED_NO
电子申请单编号,APPLY_NO
检验申请机构名称,EXAMINATION_APPLY_ORGAN
检验申请科室,EXAMINATION_APPLY_ROOM
疾病诊断编码,DIAG_CODE
诊断机构名称,DIAGNOSIS_ORGAN_NAME
诊断日期,DIAGNOSIS_DATE
标本类别,SAMPLE_TYPE
检验标本号,INSPECTION_INSPECTION_NO
标本状态,SAMPLE_STATE
标本采样日期时间,SPECIMEN_SAMPLE_DATE
接收标本日期时间,RECEIVE_SPECIMEN_DATE
检验方法名称,INSPECTION_METHOD_NAME
检验类别,INSPECTION_TYPE
检验项目代码,INSPECTION_ITEM_CODE
检验结果代码,INSPECTION_RESULT_CODE
检验定量结果,INSPECTION_QUANTIFY_RESULT
检验定量结果计量单位,EXAMINATION_QUANTIFY_UNIT
检验技师签名,INSPECTION_ENGINEER
检验医师签名,INSPECTION_DOCTOR
检验日期,INSPECTION_DATE
检验报告单编号,INSPECTION_REPORT_NO
检验报告机构名称,INSPECTION_REPORT_ORGAN
检验报告科室,INSPECTION_REPORT_ROOM
检验报告结果,INSPECTION_REPORT_RESULT
检验报告备注,INSPECTION_REPORT_REMARKS
检验报告日期,INSPECTION_REPORT_DATE
报告医师签名,REPORT_DOCTOR
审核医师签名,REPORTAUDIT
