门（急）诊号,OUTP_NO
住院号,INP_NO
电子申请单编号,ELECTRONIC_APPLY_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,AREA_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,PATIENT_SEX
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
体重（kg）,BODY_WEIGHT
疾病诊断编码,DIAG_CODE
处理及指导意见,DISPOSE_OPINION
有创诊疗操作标志,INCASIVE_OPERTOR_CODE
操作编码,OPERTOR_CODE
操作名称,OPTERTOR_NAME
操作目标部位名称,OPERTOR_TARGET
介入物名称,INTER_NAME
操作方法描述,OPERATOR_DESC
操作次数,OPERATOR_NUM
操作日期时间,OPERATOR_DATE
药物名称,DRUG_NAME
药物用法,DRUG_USAGE
中药使用类别代码,TCD_TYPE_CODE
药物使用频次代码,DRUG_USAGE_FRE
药物剂型代码,DRUG_DOSAGE_CODE
药物使用剂量单位,DRUG_DOSAGE_UNIT
药物使用次剂量,DRUG_USAGE_DOSAGE
药物使用总剂量,DRUG_USAGE_TOTAL
用药途径代码,ROUTE_ADMINISTRATION
过敏史标志,ALLERGY_HISTORY_TYPE
过敏史,ALLERGY_HISTORY
医嘱使用备注,ADVICE_REMAKR
今后治疗方案,AFTER_TREAT_PLAN
随访方式代码,VISIT_WAY_CODE
随访日期,FOLLOWUP_DATE
随访周期建议代码,VISIT_PERIODIC_PROPOSAL_CODE
医嘱执行者签名,ADVICE_EXEC_SIGN
签名日期时间,SIGN_DATETIME
