门（急）诊号,OUTP_NO
住院号,INP_NO
电子申请单编号,ELECTRONIC_APPLY_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,AREA_NO
病床号,BED_NO
手术间编号,OPERATE_ROOM_NO
患者姓名,PATIENT_NAME
性别代码,PATIENT_SEX
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
术前诊断编码,PREOPERATION_DIAG_CODE
术后诊断编码,AFTEROPERATION_DIAG_ICD
手术开始日期时间,OPERATION_BEGIN_DATETIME
手术结束日期时间,OPERATIION_END_DATETIME
手术及操作编码,OPERATION_CODE
手术名称,OPERATION_NAME
手术级别代码,OPERATION_LEVEL_CODE
手术目标部位名称,OPERATION_POSITION_NAME
介入物名称,INTER_NAME
手术体位代码,OPERTATION_TARGET_CODE
手术过程描述,OPERATION_PROCESS_DESC
手术史标志,OPERATION_FLAG
皮肤消毒描述,SKIN_DISINFECTION_DESC
手术切口描述,OPERATION_INCISION_DESC
引流标志,IS_DRAINAGE
出血置（mL),OPERATION_BLEEDING
输液量(mL),OPERATION_INFUSION
输血量(mL),BLOOD_TRANSFERED_VALUE
术前用药,OPERATION_PRE_MEDICATION
术中用药,OPERATION_AFTER_MEDICATION
引流材料名称,DRAINAGE_MATERIAL
引流材料数目,DRAINAGE_MATERIAL_NUM
放置部位,OPERATION_PLACE
输血反应标志,BLOODTRANSFERED_REACTION_CODE
手术者姓名,OPERATION_DOCTOR_NAME
I助姓名,FIRST_ASSISTANT_NAME
II助姓名,SECONDE_ASSISTANT_NAME
器械护士姓名,INSTRU_NURSE_NAME
巡台护士姓名,TOUR_NURSE_NAME
麻醉方法代码,ANESTHESIA_METHOD_CODE
麻醉医师姓名,ANAESTHESIA_DOCTOR_NAME
手术者签名,OPERATION_DOCTOR_SIGN
签名日期时间,SIGN_DATETIME
