门（急）诊号,OUTP_NO
住院号,INP_NO
电子申请单编号,ELECTRONIC_APPLY_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,AREA_NO
病床号,BED_NO
手术间编号,OPERATION_ROOM_NO
患者姓名,PATIENT_NAME
性别代码,PATIENT_SEX
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
体重（kg）,BODY_WEIGHT
ABO血型代码,BLOOD_ABO_CODE
Rh血型代码,RH_BLOOD_CODE
术前诊断编码,PREOPERATION_DIAG_CODE
拟实施手术及操作编码,SIMULOPERATION_CODE
拟实施麻醉方法代码,INTENT_ANESTHESIA_CODE
术前合并疾病,PREOPERATIVE_COMORBIDITY
注意事项,ATTENTION
简要病史,BRIEF_HISTORY
过敏史,ALLERGY_HISTORY
心电图检查结果,ECG_RESULTS
胸部X线检查结果,XLINE_RESULT
CT检查结采,CT_RESULT
B超检查结果,B_INSPECTION
MRI超检查结果,MRI_RESULT
肺功能检查结果,PULMONARY_FUNCTION_RESULTS
血常规检查结果,BLOOD_ROUT_RESULT
尿常规检查结果,URINE_TEST_RESULTS
凝血功能检查结果,COAGULATION_TEST_RESULTS
肝功能检查结果,LIVER_FUNCTION_RESULT
血气分析检查结果,BLOODGAS_ANALYSIS_TEST_RESULT
一般状况检查结果,GENERALHEALTH_CHECK_RESULT
精神状态正常标志,MENTAL_STATE_FLAG
心脏听诊结果,CARDIAC_AUSCULTATION_RESULT
肺部听诊结果,LUNG_AUSCULTATION_RESULT
四肢检查结果,LIMBS_TEST_RESULT
脊柱检查结果,SPINAL_RESULT
腹部检查结果,ABDOMINAL_EXAM_RESULT
气管检查结果,TRACHEA_TEST_RESULT
牙齿检查结果,DENTAL_EXAMINATION_RESULT
术前麻醉医嘱,OPERATE_ANESTHESIA_ADVICE
麻醉适应证,ANESTHESIA_INDICATION
麻醉医师签名,ANESTHESIA_DOCTOR_SIGN
签名日期时间,SIGN_DATETIME
