门（急）诊号,OUTP_NO
住院号,INP_NO
电子申请单编号,ELECTRONIC_APPLY_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,AREA_NO
病床号,BED_NO
手术间编号,OPERATION_ROOM_NO
患者姓名,PATIENT_NAME
性别代码,PATIENT_SEX
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
体重（kg）,BODY_WEIGHT
ABO血型代码,ABO_BLOOD
Rh血型代码,RH_BLOOD_CODE
术前诊断编码,PREOPERATION_DIAG_CODE
术后诊断编码,AFTEROPERATION_DIAG_ICD
手术及操作编码,OPERATION_CODE
手术体位代码,OPERTATION_TARGET_CODE
麻醉方法代码,ANESTHESIA_METHOD_CODE
气管插管分类,TRACHEAL_INTUBATION_CODE
麻醉药物名称,ANAESTHESIA_DRUG_NAME
麻醉体位,ANAESTHESIA_LOCATION
呼吸类型代码,RESPIRATORY_TYPE_CODE
麻醉描述,ANAESTHESIA_DESC
常规监测项目名称,ROUTINE_MONITOR_PROJ_NAME
常规监测项目结果,ROUTINE_MONITOR_PROJ_RESULT
特殊监测项目名称,SPECMONITORPROJECT_NAME
特殊监测项目结果,SPECMONITORPROJECT_RESULT
麻醉合并症标志代码,ANESTHESIA_COMPLICAT_CODE
诊疗过程描述,DIAGNOSE_DESC
穿刺过程,PUNCTURE_PROCESS
收缩压(mmHg),SYSTOLIC_PRESSURE
舒张压(mmHg),DIASTOLIC_PRESSURE
体温（℃）,TEMPERATURE
心率(次/min),CARDIOTACH
脉率(次/min),SPHYGMUS
呼吸频率（次/min),BREATH_FREQUENCY
美国麻醉医师协会(ASA)分级标准代码,ASA_STANDARD_CODE
麻醉效果,ANESTHESIA_EFFECT
麻醉前用药,PRE_ANAESTHESIA_DRUG
手术开始日期时间,OPERATION_BEGIN_DATETIME
麻醉开始日期时间,ANESTHE_BEGIN_DATE
手术结束日期时间,OPERATIION_END_DATETIME
出手术室日期时间,OUT_OPERATEROOM_DATETIME
手术者姓名,OPERATION_DOCTOR_NAME
药物名称,DRUG_NAME
药物用法,DRUG_USAGE
药物使用频次代码,DRUG_USAGE_FRE
药物使用剂量单位,DRUG_DOSAGE_UNIT
药物使用次剂量,DRUG_USAGE_DOSAGE
药物使用总剂量,DRUG_USAGE_TOTAL
用药途径代码,ROUTE_ADMINISTRATION
输血日期时间,BLOOD_TRANSFERED_DATETIME
输血品种代码,BLOOD_TRANSFUSION_VARIETY_CODE
输血量（mL),BLOOD_TRANSFERED_VALUE
输血量计量单位,BLOOD_VOLUME_UNIT
输血反应标志,BLOODTRANSFERED_REACTION_CODE
术中输液项目,OPERATE_INFUSION_ITEM
出血量（mL),OPERATION_BLEEDING
患者去向代码,PATIENT_WHEREABOUTS_CODE
麻醉医师签名,ANESTHESIA_DOCTOR_SIGN
签名日期时间,SIGN_DATETIME
