门（急）诊号,OUTP_NO
住院号,INP_NO
电子申请单编号,ELECTRONIC_APPLY_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,AREA_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,PATIENT_SEX
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
体重（kg）,BODY_WEIGHT
ABO血型代码,ABO_BLOOD
Rh血型代码,RH_BLOOD_CODE
术前诊断编码,PREOPERATION_DIAG_CODE
术后诊断编码,AFTEROPERATION_DIAG_ICD
一般状况检查结果,GENERALHEALTH_CHECK_RESULT
手术及操作编码,OPERATION_CODE
麻醉方法代码,ANESTHESIA_METHOD_CODE
麻醉恢复情况,ANAESTHESIA_RECOVERY
淸醒日期时间,CONSCIOUS_DATETIME
拔除气管插管标志,TRACHEAL_INTUB_CODE
特殊情况,SPECIAL_STATUS
麻醉适应证,ANESTHESIA_INDICATION
麻醉医师签名,ANESTHESIA_DOCTOR_SIGN
签名日期时间,SIGN_DATETIME
