门（急）诊号,OUTP_NO
住院号,INP_NO
电子申请单编号,ELECTRONIC_APPLY_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,AREA_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,PATIENT_SEX
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
ABO血型代码,ABO_BLOOD
Rh血型代码,RH_BLOOD_CODE
输血史标识代码,BLOOD_TRANSFUSION_HISTORY
疾病诊断编码,DIAG_CODE
输血性质代码,TRANSFUSION_NATURE_CODE
申请ABO血型代码,APPLICATION_ABO_BLOOD_TYPE
申请Rh血型代码,APPLICATION_RH_BLOOD_TYPE
输血指征,BLOOD_TRANSFUSION_INDICATION
输血过程记录,BLOOD_TRANSFUSION_PROCESS
输血品种代码,BLOOD_TRANSFUSION_VARIETY_CODE
血袋编码,BLOOD_NO
输血量（mL),BLOOD_TRANSFERED_VALUE
输血量计量单位,BLOOD_VOLUME_UNIT
输血反应标志,BLOODTRANSFERED_REACTION_CODE
输血反应类型代码,BLOOD_REACTION_TYPE_CODE
输血次数,TIME_BLOOD
输血日期时间,BLOOD_TRANSFERED_DATETIME
输血原因,BLOODTRANSFERED_REASON
医师签名,DOCTOR_NAME_SIGN
签名日期时间,SIGN_DATETIME
