住院号,INP_NO
产妇姓名,PATIENT_NAME
年龄（岁）,AGE_YEAR
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,AREA_NO
病床号,BED_NO
待产日期时间,PREDELIVERY_DATETIME
孕次,DELIVERY_TIMEGRAVIDITY_TIME
产次,DELIVERY_TIME
末次月经日期,LAST_MENSTRUAL_PERIOD
受孕形式代码,CONCEPTION_CODE
预产期,EDC_DESC
产前检查标志,PRENATAL_EXAMINATION_CODE
产前检查异常情况,PRENATAL_EXAMINATION_ABNORMAL
孕前体重（kg）,PREPREGNANCY_WEIGHT
身高（cm）,HEIGHT
分娩前体重（kg）,ANTE_PARTUM_WEIGHT
此次妊娠特殊情况,SPECIAL_CASES_PREGNANCY
既往史,PAST_HISTORY
手术史,OPERATION_HISTORY
既往孕产史,PAST_PREGNANCY_HISTORY
收缩压(mmHg),SYSTOLIC_PRESSURE
舒张压(mmHg),DIASTOLIC_PRESSURE
体温（℃）,TEMPERATURE
脉率(次/min),PULSE_RATE
呼吸频率(次/min),BREATH_FREQUENCY
宫底高度（cm）,FUNDUS_HEIGHT
腹围（cm）,ABDOMINAL_GIRTH
胎心率(次/min),FETAL_HEART_RATE
胎方位代码,FETAL_POSITION_CODE
估计胎儿体重,ESTIMATED_FETAL_WEIGHT
头位难产情况的评估,HEADPOS_DYSTOCIA_EVAL
骶耻外径（cm）,SACRAL_EXTERNAL_DIAMETER
坐骨结节间径（cm）,INTERTUBEROUS_DIAMETER
宫缩情况,CONTRACTIONS
宫颈情况,CERVICAL_CONDITION
宫口情况,UTERINE_ORIFICE_CONDITION
胎膜情况代码,EMBRYOLEMMA_CODE
破膜方式代码,RUPTURE_MEMBRANE_CODE
先露位置,PRESENTATION_POSITION
羊水情况,AMNIOTIC_FLUID_CONDITION
膀胱充盈标志,BLADDER_FILLING_CODE
肠胀气标志,FLATULENCE_CODE
检查方式代码,EXAM_METHOD_CODE
处置计划,DISPOSITION_PLAN
计划选取的分娩方式代码,PLANNED_DELIVERY_CODE
产程记录日期时间,DELIVERY_DATETIME
产程经过,BIRTH_PROCESS
产程检查者签名,LABOR_INSPECTION_SIG
记录人员签名,RECORD_SIGN
