住院号,INP_NO
产妇姓名,PATIENT_NAME
年龄（岁）,AGE_YEAR
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,AREA_NO
病床号,BED_NO
孕次,DELIVERY_TIMEGRAVIDITY_TIME
产次,DELIVERY_TIME
末次月经日期,LAST_MENSTRUAL_PERIOD
预产期,EDC_DESC
临产日期时间,BIRTH_DATETIME
入院诊断,INP_DIAG_CODE
胎膜破裂日期时间,RUPTURE_MEMBRANES_DATETIME
前羊水性状,FOREWATERS_VOLUME
前羊水量(mL),PAMNIOTIC_FLUID_VOLUME
第1产程时长（min),FIRST_DURATION_LABOR
宫口开全日期时间,PMOUTH_OPFULL_TIME
第2产程时长(min),BIRTHPROCESS_DURATION_DELIVERY
胎儿娩出日期时间,FETAL_DISENGAGE_TIME
第3产程时长（min),THIRD_DURATION_LABOR
总产程时长（min),FULL_BIRTHPROCESS_TIME
胎方位代码,FETAL_POSITION_CODE
阴道助产标志,VAGINAL_DELIVERY_CODE
阴道助产方式,VAGINA_DELIVERY_METHOD
羊水性状,AMNIOTIC_FLUID_CHARACTER
羊水量(mL),AMNIOTIC_FLUID_VOLUME
胎盘娩出日期时间,PLACENTAL_EXPULSION_TIME
胎盘娩出情况,PLACENTAL_EXPULSION_SITUATION
胎膜完整情况标志,INTACT_FETALMEMBRANES_CODE
绕颈身（周）,UMBILICALCORD_WINDING_NUMBER
跻带长度（cm）,UMBILICAL_CORD_LENGTH
脐带异常情况描述,UMBILICAL_CORD_ABNORMALITIES
产时用药,DELIVERY_DRUG
预防措施,PREVENTIVE
产妇会阴切开标志,MATERNALPERINEAL_INCISION_CODE
会阴切开位置,INCISION_LOCATION
产妇会阴缝合针数,SUTURE_NEEDLE_NUMBER
会阴裂伤情况代码,PERINEAL_LACERATION_CODE
会阴血肿标志,PERINEAL_HEMATOMA_CODE
麻醉方法代码,OPERATE_MZFS_ID
麻醉药物名称,ANESTH_DRUG_NAME
阴道裂伤标忐,LACERATION_VAGINA_CODE
阴道血肿标志,VAGINAL_HEMATOMA_CODE
阴道血肿大小,VAGINAL_HEMATOMA_SIZE
阴道血肿处理,TREATMENT_VAGINAL_HEMATOMA
宫颈裂伤标志,CERVICAL_LACERATION_CODE
宫颈缝合情况,CERVICAL_SUTURE
肛查,ANAL_INVESTIGATION
产后用药,AFTER_DELIVERY_DRUG
分娩过程特殊情况描述,DELIVERY_SPECIAL_CONDITION
宫缩情况,CONTRACTIONS
子宫情况,UTERINE_CONDITIONS
恶露状况,ELU_STATUS
修补手术过程,REPAIR_PROCEDURE
存脐带血情况标志,UMBILICAL_BLOOD_CORD
产后诊断,AFTDELIVERY_ICD_CODE
产后观察日期时间,POSTPARTUM_OBSERVATION_TIME
产后检查时间（min),POSTOPERATIVE_CHECK_TIME
产后收缩压(mmHg),BLOODPRESSUREH
产后舒张压(mmHg),BLOODPRESSUREL
产后脉搏（次/min）,PULSE
产后心率（次/min）,POSTPARTUM_HEART_RATE
产后出血量（mL),BLOOD_LOSSED
产后宫缩,POSTPARTUM_UTERINE_CONTRACTION
产后宫底高度（cm）,POSTPARTUM_UTERINE_HEIGHT
产后膀胱充盈标志,POSTPARTUM_BLADDER_FILLING
新生儿性别代码,NEWBORN_SEX
新生儿出生体重(g),NEWBORN_BIRTH_WEIGHT
新生儿出生身艮（cm）,NEWBORN_HEIGHT
产瘤大小,TUMOR_SIZE
产瘤部位,TUMOR_LOCATION
Apgar评分间隔时间代码,APGAR_CODE
Apgar评分值,APGAR_SCORE
分娩结局代码,DELIVERY_OUTCOME_CODE
新生儿异常情况代码,NEWBORN_ABNORMAL_CODE
接生人员签名,MIDWIVES_SIGN
手术医生签名,OPERATION_DOCTOR_NAME
儿科医生签名,PEDIATRICIAN_SIGN
记录人员签名,RECORD_SIGN
