住院号,INP_NO
产妇姓名,PATIENT_NAME
年龄（岁）,AGE_YEAR
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,AREA_NO
病床号,BED_NO
待产日期时间,PREDELIVERY_DATETIME
术前诊断,PREOPERATION_DIAG
手术指征,OPERATION_INDICATIONS
手术及操作编码,OPERATION_CODE
手术开始日期时间,OPERATION_START_TIME
麻醉方法代码,OPERATE_MZFS_ID
麻醉体位,ANESTHESIA_POSITION
麻醉效果,ANESTHESIA_EFFECT
剖宫产手术过程,CESAREAN_PROCESS
子宫情况,UTERINE_CONDITIONS
胎儿娩出方式,FETAL_CHILDBIRTH_WAY
羊水性状,AMNIOTIC_FLUID_CHARACTER
羊水量（mL),AMNIOTIC_FLUID_VOLUME
胎盘娩出日期时间,PLACENTAL_EXPULSION_TIME
胎盘娩出情况,PLACENTAL_EXPULSION_SITUATION
胎膜完整情况标志,INTACT_FETALMEMBRANES_CODE
脐带长度（cm）,UMBILICAL_CORD_LENGTH
绕颈身（周）,UMBILICALCORD_WINDING_NUMBER
胳带异常情况描述,ABNUMBERRMAL_UMBILICAL_CORD
存脐带血情况标志,UMBILICAL_BLOOD_CORD
子宫壁缝合情况,UTERINE_WALL_SUTURE
宫缩剂名称,UTEROTONICS_NAME
宫缩剂使用方法,UTEROTONICS_USE
手术用药,OPERATE_DRUG
手术用药量,OPERATE_DRUG_DOSAGE
腹腔探查子宫,ABDOMINAL_EXPLORATION_UTERUS
腹腔探查附件,ABDOMINAL_EXPLORATION_ANNEX
宫腔探查异常情况描述,INTRAUTER_EXPLORAT_ANOMALIES
宫腔探查处理情_况,INTRAUTERINE_EXPLORAT_TREAT
手术时产妇情况,OPERATION_MATERNITY
出血量(mL),BLOOD_LOSSED
输血成分,TRANS_INGREDIENTS
输血量（mL),BLOOD_TRANSFERED
输液最（mL),OPERATION_INFUSION
供氧时间（min),OXYGEN_SUPPLY_TIME
其他用药,OTHER_DRUG_NAME
其他用药情况,OTHER_DRUG_USE
手术结束日期时间,OPERATE_END_TIME
手术全程时间（min),OPERATION_FULL_TIME
术后诊断,OPERATE_AFTER_NAME
术后观察日期时间,POSTOPER_OBSERVATION_DATE
术后检查时间（min),POSTOPERATIVE_CHECK_TIME
术后收缩压(mmHg),BLOODPRESSUREH
术后舒张压(mmHg),BLOODPRESSUREL
术后脉搏（次/min）,PULSE
术后心率（次/min）,CARDIOTACH
术后出血量（mL),POSTOPER_BLOOD_LOSSED
术后宫缩,POSTPARTUM_UTERINE_CONTRACTION
术后宫底高度（cm）,POSTPARTUM_UTERINE_HEIGHT
新生儿性别代码,NEWBORN_SEX
新生儿出生体重(g),BIRTH_WEIGHT
新生儿出生身长（cm）,NEWBORN_HEIGHT
产瘤大小,TUMOR_SIZE
产瘤部位,TUMOR_LOCATION
Apgar评分间隔时间代码,APGAR_CODE
Apgar评分值,APGAR_SCORE
分娩结局代码,DELIVERY_OUTCOME_CODE
新生儿异常情况代码,NEWBORN_ABNORMAL_CODE
手术医生签名,OPERATION_DOCTOR_NAME
麻醉医生签名,DOCTOR_ANES
器械护士签名,NSTRUMENT_NURSE_NAME
手术助手签名,OPERATION_ASSISTANT_NAME
儿科医生签名,PEDIATRICIAN_SIGN
记录人员签名,RECORD_SIGN
