住院号,INP_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,AREA_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,PATIENT_SEX
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
疾病诊断编码,DIAG_CODE
护理等级代码,NURSING_GRADE_CODE
护理类型代码,NURSING_TYPE_CODE
过敏史,ALLERGY_HISTORY
体重（kg）,WEIGHT
体温（℃）,TEMPERATURE
呼吸频率(次/min),BREATH_FREQUENCY
脉率(次/min),SPHYGMUS
收缩压(mmHg),SYSTOLIC_PRESSURE
舒张压(mmHg),DIASTOLIC_PRESSURE
血氧饱和度（％),OXYGEN_SATURATION
足背动脉搏动标志,DPAP_FLAG
饮食情况代码,DIETARY_STATUS_CODE
导管护理描述,CATHETER_CARE_CODE
气管护理代码,ENDOTRACHEAL_CARE_CODE
体位护理,BODY_POSITION_CARE
皮肤护理,SKIN_CARE
营养护理,NUTRITION_CARE
饮食指导代码,DIET_GUIDE_CODE
心理护理代码,PSYCHOLOGICAL_CARE_CODE
安全护理代码,SAFETY_NURSING_CODE
简要病情,PATIENT_CONDITION
护理观察项目名称,NURSING_OBSERVATION_NAME
护理观察结果,NURSING_OBSERVATION_RESULT
护理操作名称,NURSING_OPERATION_NAME
护理操作项目类目名称,NURSING_OPERATION_ITEM
护理操作结果,NURSING_OPERATION_RESULT
发出手术安全核对表标志,ISSUE_SSC_FLAG
收回手术安全核对表标志,WITHDRAW_SSC_FLAG
发出手术风险评估表标志,ISSUE_ORA_FLAG
收回手术风险评估表标志,WITHDRAW_ORA_FLAG
隔离标志,ISOLATION_INDICATOR
隔离种类代码,ISOLATION_TYPE_CODE
护士签名,NURSE_SIGN
签名日期时间,SIGN_DATETIME
