门（急）诊号,OUTP_NO
住院号,INP_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,AREA_NO
病床号,BED_NO
手术间编号,OPERATION_ROOM_NO
患者姓名,PATIENT_NAME
性别代码,PATIENT_SEX
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
体重（kg）,WEIGHT
ABO血型代码,BLOOD_ABO_CODE
Rh血型代码,RH_BLOOD_CODE
术前诊断编码,PRE_OPERATION_CODE
手术及操作编码,OPERATION_CODE
手术者姓名,OPERATOR_NAME
手术目标部位名称,OPERATIVE_SITE_NAME
手术结束日期时间,END_DATE_TIME
手术开始日期时间,START_DATE_TIME
过敏史标志,ALLERGY_HISTORY_FLAG
过敏史,ALLERGY_HISTORY
皮肤检查描述,SKIN_INSPECTION_DESCRIPTION
护理等级代码,NURSING_GRADE_CODE
护理类型代码,NURSING_TYPE_CODE
护理观察项目名称,NURSING_OBSER_PROJECT_NAME
护理观察结果,NURSING_OBSERVATION_RESULT
护理操作项目类目名称,NURSING_OPERATION_ITEM
护理操作名称,NURSING_OPERATION_NAME
护理操作结果,NURSING_OPERATION_RESULT
入手术室日期时间,ENTER_ROOM_DATETIME
出手术室日期时间,OUT_ROOM_DATETIME
准备事项,PREPARE_ITEM
术中病理标志,INTRAOPERAT_PATHOLOGICAL_MARK
术中所用物品名称,OPERATION_ITEM
术前清点标志,PREOPERATION_CHECK_FLAG
关前核对标志,CLOSEBEFORE_CHECK_FLAG
关后核对标志,CLOSEAFTER_CHECK_FLAG
病人交接核对项目,PATIENT_TRANSFER_CHECKITEM
巡台护士签名,CIRCULATING_NURSE_SING
器械护士签名,INSTRUMENT_NURSE_SING
交接护士签名,HANDOVER_NURSE_SIGN
转运者签名,TRANSPORTER_SIGN
交接日期时间,HANDOVER_DATETIME
签名日期时间,SIGN_DATETIME
