住院号,INP_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,AREA_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,PATIENT_SEX
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
疾病诊断编码,DIAG_CODE
入院日期时间,INP_DATETIME
实际住院天数,INP_DAYS
手术或分娩后天数,AFTER_OPERATION_DAY
记录日期时间,CREATE_DATETIME
呼吸频率(次/min),BREATH_FREQUENCY
使用呼吸机标志,RESPIRATOR_FLAG
脉率(次/min),SPHYGMUS
起搏器心率(次/min),PACEMAKER_HEARTRATE
体温（℃）,TEMPERATURE
收缩压(mmHg),SYSTOLIC_PRESSURE
舒张压(mmHg),DIASTOLIC_PRESSURE
体重（kg）,WEIGHT
腹围（cm）,ABDOMINAL_GIRTH
护理观察项目名称,NURSING_OBSERVATION_NAME
护理观察结果,NURSING_OBSERVATION_RESULT
护士签名,NURSE_SIGN
签名日期时间,SIGN_DATETIME
