住院号,INP_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,AREA_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,PATIENT_SEX
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
体重（kg）,WEIGHT
疾病诊断编码,DIAG_CODE
护理等级代码,NURSING_GRADE_CODE
护理类型代码,NURSING_TYPE_CODE
护理观察结果,NURSING_OBSERVATION_RESULT
护理操作项目类目名称,NURSING_OPERATION_ITEM
护理操作名称,NURSING_OPERATION_NAME
护理操作结果,NURSING_OPERATION_RESULT
记录日期时间,CREATE_DATETIME
药物用法,DRUG_USAGE
中药使用类别代码,TCD_TYPE_CODE
药物使用频率,FREQUENCY
药物使用剂量单位,DOSAGE_UNIT
药物使用次剂量,SINGLE_DOSAGE
药物使用总剂量,DOSAGE_TOTAL
用药途径代码,ROUTE_ADMINISTRATION
药物名称,DRUG_NAME
呕吐标志,EMESIS_FLAG
排尿困难标志,DYSURIA_FLAG
护士签名,NURSE_SIGN
签名日期时间,SIGN_DATETIME
