住院号,INP_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,WARD_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,SEX_CODE
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
国籍代码,NATIONNALITY
民族,NATION
婚姻状况代码,MARITAL_STATUS_CODE
职业类别代码,OCCUPATION_TYPE_CODE
学历代码,DEGREE_CODE
患者电话号码,PATIENT_PHONE
工作单位电话号码,WORK_PHONE
患者电子邮件地址,EMAIL
联系人姓名,CONTACTS_NAME
联系人电话号码,CONTACTS_PHONE
入病房方式,INTO_ROOM_WAY
入院诊断编码,INP_DIAG_CODE
入院日期时间,INP_DATETIME
主要症状,SYMPTOMPTOM
体重（kg）,WEIGHT
体温（℃）,TEMPERATURE
呼吸频率（次/min),BREATH_FREQUENCY
脉率(次/min),SPHYGMUS
收缩压(mmHg),SYSTOLIC_PRESSURE
舒张压(mmHg),DIASTOLIC_PRESSURE
入院原因,INP_REASON
入院途径代码,INP_APPROACH_CODE
Apgar评分值,APGAR_GRADE
饮食情况代码,DIETARY_STATUS_CODE
发育程度代码,DEVELOPMENT_DEGREE_CODE
精神状态正常标志,SPIRIT_STATUS_FLAG
麵眠状况,SLEEP_STATUS
特殊情况,SPECIAL_STATUS
心理状态代码,PSYCHOLOGICAL_STATUS
营养状态代码,NUTRITION_STATUS
自理能力代码,SELF_CARE_STATUS
过敏史,ALLERGY_HISTORY
一般健康状况标志,HEALTH_STATUS
疾病史（含外伤）,DISEASE_HISTORY
患者传染性标志,INFECT_FLAG
传染病史,INFECT_HISTORY
预防接种史,PREVENT_HISTORY
手术史,OPERATION_HISTORY
输血史,BLOOD_TRANSFUSION_HISTORY
家族史,FAMILY_HISTORY
护理观察项目名称,NURSING_OBSERVATION_NAME
护理观察结果,NURSING_OBSERVATION_RESULT
吸烟标志,SMOKING_FLAG
停止吸烟天数,STOP_SMOKING_DAY
吸烟状况代码,SMOKING_STATUS
日吸烟量（支）,SMOKING_PER_DAY
饮酒标志,DRINKING_FLAG
饮酒频率代码,DRINKING_FREQUENCY
日饮酒量（mL),DAILY_DRINK
通知医师标志,INFORM_DOCTOR_FLG
通知医师日期时间,NOTIFY_PHYSICIAN_DATETIME
评估日期时间,ASSESSMENT_DATETIME
责任护士签名,NURSING_SIGN
接诊护士签名,RECEPTION_NURSING_SIGN
签名日期时间,SIGN_DATETIME
