住院号,INP_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,WARD_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,SEX_CODE
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
疾病诊断编码,DIAG_CODE
护理等级代码,NURSING_GRADE_CODE
护理类型代码,NURSING_TYPE_CODE
护理问题,NURSING_PROBLEMS
护理操作项目类目名称,NURSING_OPERATION_ITEM_NAME
护理操作名称,NURSING_OPERATION_NAME
护理操作结果,NURSING_OPERATION_RESULT
导管护理描述,ENDOTRACHEAL_CARE_DESC
体位护理,BODY_POSITION_CARE
皮肤护理,SKIN_CARE
气管护理代码,ENDOTRACHEAL_CARE_CODE
安全护理代码,SAFETY_NURSING_CODE
饮食指导代码,DIET_GUIDE_CODE
护士签名,NURSING_SIGN
签名日期时间,SIGN_DATETIME
