门（急）诊号,OUTP_NO
住院号,INP_NO
知情同意书编号,INFORMED_CONSENT_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,AREA_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,SEX_CODE
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
术前诊断编码,PREOPERATION_DIAG_CODE
拟实施手术及操作编码,INTENT_OPERATE_CODE
拟实施手术及操作日期时间,INTENT_OPERATE_DATETIME
手术指征,OPERATION_INDICATION
手术禁忌症,OPERATION_CONTRAINDICATION
手术方式,OPERATION_METHOD
拟实施麻醉方法代码,INTENT_ANESTHESIA_CODE
术前准备,OPERATION_BEFORE_PREPARE
手术中可能出现的意外及风险,OPEATION_POSSIBLE_VENTURE
手术后可能出现的意外及并发症,OPEA_AFTER_POS_VENTURE
替代方案,REPLACE_SCHEME
医疗机构意见,ORG_OPINION
患者/法定代理人意见,PATIENT_AGENT_OPINION
患者签名,PATIENT_SIGN
法定代理人签名,LEGAL_AGENT_SIGN
法定代理人与患者的关系代码,RELATION_CODE
患者/法定代理人签名日期时间,SIGN_DATETIME
经治医师签名,TREATING_DOCTOR_SIGN
手术者签名,OPERATOR_SIGN
医师签名日期时间,DOCTOR_SIGN_DATETIME
