门（急）诊号,OUTP_NO
住院号,INP_NO
知情同意书编号,INFORMED_CONSENT_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,AREA_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,SEX_CODE
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
疾病诊断编码,DIAG_CODE
输血史标识代码,BLOOD_TRANSFUSION_HISTORY
输血指征,BBLOOD_TRANSFUSION_INDICATION
输血品种代码,BLOOD_TRANSFUSION_VARIETY_CODE
输血前有关检查项目及结果,CHECK_TRANSFUS_ITEM_RESULTS
输血方式,BLOOD_TRANSFUSION_WAY
拟定输血日期时间,INTENT_TRANSFUSION_DATE
医疗机构意见,ORG_OPINION
患者/法定代理人意见,PATIENT_AGENT_OPINION
患者/法定代理人签名,PATIENT_AGENT_SIGN
法定代理人与患者的关系代码,RELATION_CODE
患者/法定代理人签名日期时间,SIGN_DATETIME
医师签名,DOCTOR_SIGN
医师签名日期时间,DOCTOR_SIGN_DATETIME
