医疗机构名称,ORG_NAME
医疗机构组织机构代码,ORG_ID
医疗付费方式代码,PAY_WAY
居民健康卡号,HEALTH_CARD_NO
住院次数,INHOS_COUNT
住院号,INP_NO
病案号,MR_NO
姓名,PATIENT_NAME
性别代码,SEX_CODE
出生日期,BIRTHDAY
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
国籍代码,NATIONNALITY_CODE
新生儿出生体重（g),NEWBORN_BIRTH_WEIGHT
新生儿入院体重（g),NEWBORN_INP_WEIGHT
出生地-省（自治区、直辖市）,BIRTHPLACE_PROVINCE
出生地-市（地区、州）,BIRTHPLACE_CITY
出生地-县（区）,BIRTHPLACE_COUNTY
籍贯-省（自治区、直辖市）,NATIVEPLACE_PROVINCE
籍贯-市（地区、州）,NATIVEPLACE_CITY
民族,NATION
身份证件类别代码,IDENTITY_TYPE
患者身份证件号码,IDENTITY_NO
职业类别代码,OCCUPATIENTION_CLASS_CODE
婚姻状况代码,MARITAL_STATUS_CODE
现住址-省（自治区、直辖市）,CURRENT_PROVINCE
现住址-市（地区、州）,CURRENT_CITY
现住址-县（区）,CURRENT_COUNTY
现住址-乡（镇、街道办事处）,CURRENT_TOWNSHIP
现住址-村（街、路、弄等）,CURRENT_VILLAGE
现住址-门牌号码,CURRENT_DOORS
电话号码,CURRENT_PHONE
现住址-邮政编码,CURRENT_ZIP_CODE
户口地址-省（自治区、直辖市）,ACCOUNT_PROVINCE
户口地址-市（地区、州）,ACCOUNT_CITY
户口地址-县（区）,ACCOUNT_COUNTY
户口地址-乡（镇、街道办事处）,ACCOUNT_TOWNSHIP
户口地址-村（街、路、弄等）,ACCOUNT_VILLAGE
户口地址-门捭号码,ACCOUNT_DOORS
户口地址-邮政编码,ACCOUNT_ZIP_CODE
工作单位名称,WORKUNIT_NAME
工作单位地址-省（自治区、直辖市）,WORKUNIT_PROVINCE
工作单位地址-市（地区、州）,WORKUNIT_CITY
工作单位地址-县（区）,WORKUNIT_COUNTY
工作单位地址-乡（镇、街道办事处）,WORKUNIT_TOWNSHIP
工作单位地址-村（街、路、弄等）,WORKUNIT_VILLAGE
工作单位地址-门牌号码,WORKUNIT_DOORS
工作单位电话号码,WORKUNIT_PHONE
工作单位地址-邮政编码,WORKUNIT_ZIP_CODE
联系人姓名,CONTACT_NAME
联系人与患者的关系代码,RELATION
联系人地址-省（自治区、直辖市）,CONTACT_PROVINCE
联系人地址-市（地区、州）,CONTACT_CITY
联系人地址-县（区）,CACOUNTY
联系人地址-乡（镇、街道办事处）,CONTACT_TOWNSHIP
联系人地址-村（街、路、弄等）,CONTACT_VILLAGE
联系人地址-门牌号码,CAHOUSE_NUMBER
联系人电话号码,CONTACT_PHONE
入院途径代码,INP_APPROACH
治疗类别代码,TREAT_TYPE_CODE
入院日期时间,INP_DATE
入院科别,INP_DEPT_NAME
入院病房,INP_ROOM
转科科别,TRANSITION_DEP
出院日期时间,DISHOSPITAL_DATE
出院科别,DISHOSPITAL_DEPT_NAME
出院病房,DISHOSPITAL_ROOM
实际住院天数,INP_DAYS
门（急）诊诊断（中医诊断)名称,OUTP_TCM_DIAGNAME
门（急）诊诊断（中医诊断)病名编码,OUTP_TCM_DIAGCODE
门（急）诊诊断（中医证候)名称,OUTP_DIAGNOSIS_TCM_NAME
门（急）诊诊断（中医证候)证候编码,OUTP_TCM_SYMPTOMCODE
门（急）诊诊断（西医诊断)名称,OUTP_WM_DIAGNAME
门（急）诊诊断（西医诊断)疾病编码,OUTP_WM_DIAGCODE
实施临床路径标志代码,CLINICAL_PATH_CODE
使用医疗机构中药制剂标志,USE_TCMPREPARATION_FLAG
