住院号,INP_NO
病区名称,AREA_NAME
科室名称,DEPT_NAME
病房号,ROOM_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,PATIENT_SEX
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
民族,NATION
婚姻状况代码,MARITAL_STATUS_CODE
地址-省（自治区、直辖市）,ADDRESS_PROVINCE
地址-市（地区、州）,ADDRESS_CITY
地址-县（区）,ADDRESS_COUNTY
地址-乡（镇、街道办事处）,ADDRESS_TOWNSHIP
地址-村（街、路、弄等）,ADDRESS_VILLAGE
地址-门牌号码,ADDRESS_DOORS
职业类别代码,OCCUPATIENTION_CLASS_CODE
入院日期时间,INP_DATE
病史陈述者姓名,MEDICALHIS_NAME
陈述者与患者的关系代码,PRESENTER_PATIENT_RELAT_CODE
陈述内容可靠标志,IS_CREDIBLE
主诉,CHIEF_COMPLAINT
现病史,PRESENT_DISEASE_HISTORY
一般健康状况标志,HEALTH_STATUS_CODE
疾病史（含外伤）,DISEASES_HISTORY
患者传染性标志,COMMUNICABLE_DISEASES_FLAG
传染病史,COMMUNICABLE_DISEASES_HISTORY
预防接种史,PREVENTIVE_INOCULATION_HISTORY
手术史,OPERATION_HISTORY
输血史,BLOOD_TRANSFUSION_HISTORY
过敏史,ALLERGY_HISTORY
个人史,PERSON_HISTORY
婚育史,MARITAL_HISTORY
月经史,MENSTRUATION_HISTORY
家族史,FAMILY_HISTORY
体格检查-体温（℃）,PHYSICALEXAM_TEMPERATURE
体格检查-脉率（次/min),PHYSICALEXAM_SPHYGMUS
体格检查-呼吸频率（次/min),PHYSICALEXAM_BREATH_FREQUENCY
体格检查-收缩压（mm-Hg),PHYSICALEXAM_SYSTOLIC_PRESSURE
体格检查-舒张压(mmHg),EXAM_DIASTOLIC_PRESSURE
体格检查-身高（cm）,HEIGHT
体格检查-体重（kg）,PHYSICALEXAM_WEIGHT
体格检查-一般状况检查结果,GENERALHEALTH_CHECK_RESULT
体格检查-皮肤和黏膜检查结果,PHYSICALEXAM_SKINMUCOSA_RESULT
体格检查-全身浅表淋巴结检查结果,LYMPH_NODE_CHECK_RESULT
体格检查-头部及其器官检查结果,PHYSICALEXAM_HEADORGAN_RESULT
体格检查-颈部检查结果,NECK_CHECK_RESULT
体格检查-胸部检查结果,CHEST_CHECK_RESULT
体格检查-腹部检查结果,ABDOMINAL_CHECK_RESULT
体格检查-肛门指诊检查结果描述,PHYSICALEXAM_ANUS_RESULT
体格检查-外生殖器检查结果,PHYSICALEXAM_GENITALS_RESULT
体格检查-脊柱检查结果,SPINE_CHECK_RESULT
体格检查-四肢检查结果,LIMBS_CHECK_RESULT
体格检查-神经系统检查结果,EXAM_NERVOUSSYSTEM_RESULT
专科情况,SPECIALIST_STATUS
辅助检查结果,AUXILIARYEXAMI_RESULT
中医“四诊”观察结果,TCM_FOUR_RESULTS
治则治法,THERAPEUTIC_PRINCIPLE
初步诊断-西医诊断名称,INP_WM_DIAGNAME
初步诊断-西医诊断编码,PD_WEST_DIAG_CODE
初步诊断-中医病名名称,INP_TCM_DIAGNAME
初步诊断-中医病名代码,INP_TCM_INITIAL_DIAGNOSE_DISEASES_CODE
初步诊断-中医证候名称,INP_TCM_SYMPTOMNAME
初步诊断-中医证候代码,INP_TCM_INITIAL_DIAGNOSE_SYNDROMES_CODE
初步诊断日期,PRELIMINARY_DIAGNOSIS_TODAY_DESC
修正诊断-西医诊断名称,CORRECT_DIAGNOSIS_WM_NAME
修正诊断-西医诊断编码,CORRECT_DIAGNOSIS_WM_CODE
修正诊断-中医病名名称,CORRECT_DIAGNOSIS_TCM_DISEASE_NAME
修正诊断-中医病名代码,CORRECT_DIAGNOSIS_TCM_DISEASE_NAME_CODE
修正诊断-中医证候名称,CORRECT_DIAGNOSIS_TCM_SYMPTOM_NAME
修正诊断-中医证候代码,CORRECT_DIAGNOSIS_TCM_SYMPTOM_CODE
修正诊断日期,CORRECT_DIAGNOSIS_DATE
确定诊断-西医诊断名称,DIAG_WM_DIAGNOSIS_NAME
确定诊断-西医诊断编码,DIAG_WM_DIAGNOSIS_CODE
确定诊断-中医病名名称,DIAG_CM_DISSEASE_NAME
确定诊断-中医病名代码,DIAGNOSIS_TCM_DISEASES_CODE
确定诊断-中医证候名称,DIAG_CM_SYNDROMES_NAME
确定诊断-中医证候代码,DIAGNOSIS_TCM_SYNDROMES_CODE
确定诊断日期,DIAGNOSIS_TODAY_DESC
补充诊断名称,SUPPLEMENTARY_DIAGNOSIS_NAME
补充诊断编码,SUPPLEMENTARY_DIAGNOSIS_CODE
补充诊断日期,SUPPLEMENTARY_DIAGNOSTIC_DATE
入院诊断顺位,INP_ADMISSION_DIAGNOSIS_PICKS
接诊医师签名,RECEIVE_DOCTOR_SIGN
住院医师签名,INP_DOCTOR_SIGN
主治医师签名,PHYSICIAN_DOCTOR_SIGN
主任医师签名,ARCHIATER_DOCTOR_SIGN
