住院号,INP_NO
患者姓名,PATIENT_NAME
性别代码,PATIENT_SEX
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
民族,NATION
婚姻状况代码,MARITAL_STATUS_CODE
地址-省（自治区、直辖市）,ADDRESS_PROVINCE
地址-市（地区、州）,ADDRESS_CITY
地址-县（区）,ADDRESS_COUNTY
地址-乡（镇、街道办事处）,ADDRESS_TOWNSHIP
地址-村（街、路、弄等）,ADDRESS_VILLAGE
地址-门牌号码,ADDRESS_DOORS
职业类别代码,OCCUPATIENTION_CLASS_CODE
病史陈述者姓名,MEDICALHIS_NAME
陈述者与患者的关系代码,PRESENTER_PATIENT_RELAT_CODE
陈述内容可靠标志,IS_CREDIBLE
入院日期时间,INP_DATE
死亡日期时间,DEATH_DATE
入院情况,INP_SITUATION
中医“四诊”观察结果,TCM_FOUR_RESULTS
治则治法,THERAPEUTIC_PRINCIPLE
入院诊断-西医诊断名称,INP_WM_DIAGNAME
入院诊断-西医诊断编码,INHOS_DIAG_WM_DIAG_CODE
入院诊断-中医病名名称,INP_TCM_DIAGNAME
入院诊断-中医病名代码,INHOS_DIAG_CM_DIS_CODE
入院诊断-中医证候名称,INP_TCM_SYMPTOMNAME
入院诊断-中医证候代码,INHOS_DIAG_CM_SYNDROME_CODE
诊疗过程描述,DIAG_PROCESS_DESC
死亡原因,DEATH_REASON
死亡诊断-西医诊断名称,DEATH_WM_DIAGNAME
死亡诊断-西医诊断编码,DEATH_WM_DIAGCODE
死亡诊断-中医病名名称,DEATH_TCM_DIAGNAME
死亡诊断-中医病名代码,DEATH_DIAG_CM_DIS_CODE
死亡诊断-中医证候名称,DEATH_TCM_SYMPTOMNAME
死亡诊断-中医证候代码,DEATH_DIAG_CM_SYNDROME_CODE
接诊医师签名,RECEIVE_DOCTOR_SIGN
住院医师签名,INP_DOCTOR_SIGN
主治医师签名,PHYSICIAN_DOCTOR_SIGN
主任医师签名,ARCHIATER_DOCTOR_SIGN
