住院号,INP_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,ROOM_NO
病床号,BED_NO
记录日期时间,RECORD_DATATIME
患者姓名,PATIENT_NAME
性别代码,SEX_CODE
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
主诉,CHIEF_COMPLAINT
病例特点,RECORD_FEATURE
中医“四诊”观察结果,TCM_FOUR_RESULTS
诊断依据,DIAG_EVIDENCE
初步诊断-西医诊断编码,PD_WEST_DIAG_CODE
初步诊断-中医病名代码,INP_TCM_INITIAL_DIAGNOSE_DISEASES_CODE
初步诊断-中医证候代码,INP_TCM_INITIAL_DIAGNOSE_SYNDROMES_CODE
鉴别诊断-西医诊断名称,IDENTIFY_WM_DIAGNAME
鉴别诊断-中医病名名称,IDENTIFY_TCM_DIAGNAME
鉴别诊断-中医证候名称,IDENTIFY_TCM_SYMPTOMNAME
诊疗计划,ASSESSMENT_PLAN
治则治法,THERAPEUTIC_PRINCIPLE
住院医师签名,INP_DOCTOR_SIGN
上级医师签名,SUPER_DOCTOR_SIGN
