住院号,INP_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,ROOM_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,SEX_CODE
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
入院日期时间,INP_DATE
主诉,CHIEF_COMPLAINT
入院情况,INP_SITUATION
中医“四诊”观察结果,TCM_FOUR_RESULTS
入院诊断-西医诊断编码,INHOS_DIAG_WM_DIAG_CODE
入院诊断-中医病名代码,INHOS_DIAG_CM_DIS_CODE
入院诊断-中医证候代码,INHOS_DIAG_CM_SYNDROME_CODE
治则治法,THERAPEUTIC_PRINCIPLE
诊疗过程描述,DIAG_DESC
目前情况,CURRENTLY_SITUATION
目前诊断-西医诊断编码,CURRENTLY_WM_DIAGCODE
目前诊断-中医病名代码,CURRENT_DIAG_CM_DIS_NAME
目前诊断-中医证候代码,CURRENT_DIAG_CM_SYNDROME_CODE
注意事项,MATTERS_NEED_ATTENTION
接班诊疗计划,SUCC_ASSESSMENT_PLAN
交班日期时间,HANDOVER_DATATIME
交班者签名,HANDOVER_SIGN
接班日期时间,TAKE_DATATIME
接班者签名,TAKE_SIGN
