住院号,INP_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,ROOM_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,SEX_CODE
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
入院日期时间,INP_DATE
主诉,CHIEF_COMPLAINT
入院情况,INP_SITUATION
中医“四诊”观察结果,TCM_FOUR_RESULTS
入院诊断-西医诊断编码,INHOS_DIAG_WM_DIAG_CODE
入院诊断-中医病名代码,INHOS_DIAG_CM_DIS_CODE
入院诊断-中医证候代码,INHOS_DIAG_CM_SYNDROME_CODE
治则治法,THERAPEUTIC_PRINCIPLE
诊疗过程描述,DIAG_DESC
目前情况,CURRENTLY_SITUATION
目前诊断-西医诊断编码,CURRENTLY_WM_DIAGCODE
目前诊断-中医病名代码,TRANSFER_TCM_DISEASES_CODE
目前诊断-中医证候代码,TRANSFER_TCM_SYNDROMES_CODE
转科目的,TRANSFER_PURPOSE
转入诊疗计划,ASSESSMENT_PLAN
中药处方医嘱内容,ADVICE_CONTENT
中药煎煮方法,CHIN_DECOC_DECWAY
中药用药方法,CHIN_DRINK_DECWAY
注意事项,MATTERS_NEED_ATTENTION
转科记录类型,TRANSFER_RCD_TYPE
转出日期时间,TRANSFER_DATATIME
转出科室,TURNOUT_DEPT_NAME
转出医师签名,TURNOUT_DOCTOR_SIGN
转入日期时间,OVERINTO_DATATIME
转入科室,OVERINTO_DEPT_NAME
转入医师签名,OVERINTO_DEPT_SIGN
