住院号,INP_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,ROOM_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,SEX_CODE
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
疾病诊断名称,DIAG_NAME
疾病诊断编码,DIAG_CODE
病情变化情况,ILLNESS_CHANGE_SITUATION
抢救措施,RESCUE_MEASURES
手术及操作编码,OPERATION_CODE
手术及操作名称,OPERATION_NAME
手术及操作目标部位名称,OPERTATION_TARGET_NAME
介入物名称,INTER_NAME
操作方法,OPERATOR_METHOD
操作次数,OPERATOR_NUMBER
抢救开始日期时间,SALVAGE_BEGIN_DATATIME
抢救结束日期时间,SALVAGE_END_DATETIME
检丧/检验项目名称,INSPECTION_ITEM_NAME
检查/检验结果,INSPECTION_RESULT
检查/检验定量结果,INSPECTION_QUANTIFY_RESULT
检查/检验结果代码,INSPECTION_RESULT_CODE
注意事项,MATTERS_NEED_ATTENTION
参加抢救人员名单,SALVAGE_NAMES
专业技术职务类别代码,PROFESSIONAL_CATAGORY_CODE
医师签名,DOCTOR_SIGN
签名日期时间,SIGN_DATATIME
