电子申请单编号,INP_NO
住院号,INP_OBJECT_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,ROOM_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,SEX_CODE
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
病历摘要,MR_EXCERPTS
辅助检查结果,AUXILIARYEXAMI_RESULT
中医“四诊”观察结果,TCM_FOUR_RESULTS
西医诊断名称,DIAG_NAME
西医诊断编码,WESTERN_DIAGNOSIS_CODE
中医病名名称,CHINESE_DIAGNOSIS_NAME
中医病名代码,CHINESE_DIAGNOSIS_CODE
中医证候名称,CHINESE_SYNDROME_NAME
中医证候代码,CHINESE_SYNDROME_CODE
治则治法,THERAPEUTIC_PRINCIPLE
诊疗过程名称,DIAGTREAT_PROCESSES_NAME
诊疗过程描述,DIAG_DESC
会诊类型,CONSULTATION_TYPE
会诊原因,CONSULTATION_REASON
会诊目的,CONSULTATION_PURPOSE
会诊申请医师签名,APPLY_DOCTOR_NAME
会诊申请科室,APPLY_DEPT_NAME
会诊申请医疗机构名称,APPLY_ORG_NAME
会诊怠见,CONSULTATION_SUGGESTION
会诊医师签名,CONSULTATION_DOCTOR_SIGN
会诊科室名称,CONSULTATION_DEPT_NAME
会诊医师所在医疗机构名称,CONSULTATION_DOCTOR_ORGNAME
会诊所在医疗机构名称,CONSULTATION_ORGNAME
会诊日期时间,CONSULTATION_DATATIME
