住院号,INP_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,ROOM_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,SEX_CODE
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
小结日期时间,STAGE_SUMMARY_DATATIME
病历摘要,MR_EXCERPTS
术前诊断编码,PREOPERATION_DIAG_CODE
诊断依据,DIAG_EVIDENCE
过敏史标志,ALLERGY_FLAG
过敏史,ALLERGY_HISTORY
辅助检查结果,AUXILIARYEXAMI_RESULT
手术适应证,SURGICAL_INDICATION
手术禁忌症,SURGERY_CONTRAINDICATION
手术指征,OPERATIVE_INDICATION
会诊意见,CONSULTATION_SUGGESTION
拟实施手术及操作编码,IMPLEMENT_OPERATION_CODE
拟实施手术及操作名称,OPERATION_NAME
拟实施手术目标部位名称,OPERATION_POSITION_NAME
拟实施手术及操作日期时间,INTENT_OPERATE_DATETIME
拟实施麻醉方法代码,INTENT_ANESTHESIA_CODE
注意事项,MATTERS_NEED_ATTENTION
手术要点,OPERATION_POINTS
术前准备,PREOPERATIVE_READY
手术者签名,OPERATIVE_SIGN
医师签名,DOCTOR_SIGN
签名日期时间,SIGN_DATATIME
