住院号,INP_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,ROOM_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,SEX_CODE
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
讨论日期时间,DISCUSS_DATATIME
讨论地点,DISCUSS_PLACE
主持人姓名,COMPERE_NAME
参加讨论人员名单,DISCUSS_NAMES
专业技术职务类别代码,PROFESSIONAL_CATAGORY_CODE
入院日期时间,INP_DATE
术前诊断编码,PREOPERATION_DIAG_CODE
拟实施手术及操作名称,OPERATION_NAME
拟实施手术及操作编码,IMPLEMENT_OPERATION_CODE
拟实施手术目标部位名称,OPERATION_POSITION_NAME
拟实施手术及操作日期时间,INTENT_OPERATE_DATETIME
拟实施麻醉方法代码,INTENT_ANESTHESIA_CODE
手术要点,OPERATION_POINTS
术前准备,PREOPERATIVE_READY
手术指征,OPERATIVE_INDICATION
手术方案,OPERATION_PLANS
注意事项,MATTERS_NEED_ATTENTION
讨论意见,DISCUSS_SUGGESTION
讨论结论,DISCUSS_CONCLUSION
手术者签名,OPERATIVE_SIGN
麻醉医师签名,ANAESTHESIA_DOCTOR_NAME
医师签名,DOCTOR_SIGN
签名日期时间,SIGN_DATATIME
