住院号,INP_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,ROOM_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,SEX_CODE
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
入院日期时间,INP_DATE
入院情况,INP_SITUATION
入院诊断编码,INHOS_DIAGNOSIS_CODE
阳性辅助检查结果,POSITIVE_TEST_RESULTS
中医“四诊”观察结果,TCM_FOUR_RESULTS
治则治法,THERAPEUTIC_PRINCIPLE
诊疗过程描述,DIAG_DESC
中药煎煮方法,CHIN_DECOC_DECWAY
中药用药方法,CHIN_DRINK_DECWAY
出院情况,DISHOSPITAL_SITUATION
出院日期时间,DISHOSPITAL_DATE
出院诊断-西医诊断名称,OUTP_DIAGNOSIS_TYPE_NAME
出院诊断-西医诊断编码,OUTP_DIAGNOSIS_TYPE_CODE
出院诊断-中医病名名称,OUTP_DIAGNOSIS_CN_NAME
出院诊断-中医病名代码,OUTHOS_TCM_DIS_CODE
出院诊断-中医证候名称,OUTP_DIAGNOSIS_TCM_NAME
出院诊断-中医证候代码,OUTHOS_SYNDROMES_DIS_CODE
出院时症状与体征,DISHOSPITAL_SYMPTOM
出院医嘱,OUTHOS_ADVIC
住院医师签名,INP_DOCTOR_SIGN
主治医师签名,PHYSICIAN_DOCTOR_SIGN
主任医师签名,ARCHIATER_DOCTOR_SIGN
签名日期时间,SIGN_DATATIME
