住院号,INP_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,AREA_NO
病床号,BED_NO
患者姓名,PATIENT_NAME
性别代码,PATIENT_SEX
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
体重（kg）,WEIGHT
处方药品组号,RECIPE_GROUP_NO
电子申请单编号,APPLY_NO
医嘱类别代码,ORDER_TYPE_CODE
医嘱项目类型代码,ORDER_ITEM_TYPE_CODE
医嘱项目内容,ADVICE_ITEM_CONTENT
医嘱计划开始日期时间,ADVICEPLAN_START_DATETIME
医嘱计划结束日期时间,ADVICEPLAN_END_DATETIME
医嘱备注信息,ADVICE_REMARK
医嘱开立者签名,ADVICE_OPENDOCTOR_NAME
医嘱开立日期时间,ADVICE_OPEN_DATETIME
医嘱开立科室,ADVICE_OPENDEPT_NAME
医嘱审核人签名,CHECK_PERSON_SIGN
医嘱审核日期时间,CHECK_ADVICE_DATETIME
核对医嘱护士签名,ADVICE_CHECKNURSE_SIGN
医嘱核对日期时间,ADVICE_CHECK_DATETIME
医嘱执行者签名,EXEC_PERSON_SIGN
医嘱执行日期时间,ADVICE_EXEC_DATETIME
医嘱执行科室,EXEC_DEPT_NAME
医嘱执行状态,ADVICE_EXEC_STATUS
医嘱停止日期时间,ADVICE_END_DATETIME
停止医嘱者签名,ADVICE_ENDER_SIGN
医嘱取消日期时间,CANCEL_ADVICE_DATETIME
取消医嘱者签名,CANCEL_ADVICE_SIGN
