医疗机构组织机构代码,ORGAN_CODE
居民健康卡号,HEALTH_CARD_NO
住院号,INP_NO
科室名称,DEPT_NAME
病区名称,AREA_NAME
病房号,WARD_NUM
病床号,BED_NUM
患者姓名,PATIENT_NAME
性别代码,PATIENT_SEX
年龄（岁）,AGE_YEAR
年龄（月）,PATIENT_MONTH
婚姻状况代码,MARITAL_STATUS_CODE
职业类别代码,OCCUPATIENTION_CLASS_CODE
患者电话号码,PATIENT_PHONE
地址类别代码,ADDRESS_TYPE_CODE
地址-省（自治区、直辖市）,ADDRESS_PROVINCE
地址-市（地区、州）,ADDRESS_CITY
地址-县（区）,ADDRESS_COUNTY
地址-乡（镇、街道办事处）,ADDRESS_TOWNSHIP
地址-村（街、路、弄等）,ADDRESS_VILLAGE
地址-门牌号码,ADDRESS_DOORS
邮政编码,ZIP_CODE
联系人姓名,CONTACTS_NAME
联系人电话号码,CONTACTS_PHONE
入院日期时间,INP_DATETIME
出院日期时间,DISHOSPITAL_DATETIME
实际住院天数,INP_DAYS
入院情况,INP_SITUATION
阳性辅助检查结果,POSITIVE_TEST_RESULTS
中医“四诊”观察结果,TCM_FOUR_RESULTS
入院诊断-西医诊断编码,INHOS_DIAG_WM_DIAG_CODE
入院诊断-中医病名代码,INHOS_DIAG_CM_DIS_CODE
入院诊断-中医证候代码,INHOS_DIAG_CM_SYNDROME_CODE
出院诊断-西医诊断编码,OUTP_DIAGNOSIS_TYPE_CODE
出院诊断-中医病名代码,OUTHOS_TCM_DIS_CODE
出院诊断-中医证候代码,OUTHOS_SYNDROMES_DIS_CODE
手术切口类别代码,OPERATION_TYPE_CODE
手术切口愈合等级代码,OPERAT_INCIS_HEAL_TYPE_CODE
手术及操作编码,OPERATION_CODE
手术及操作开始日期时间,INTENT_OPERATE_DATETIME
麻醉方法代码,ANESTHESIA_METHOD_CODE
手术过程,OPERATION_PROCESS_DESC
治则治法,THERAPEUTIC_PRINCIPLE
中药煎煮方法,TCD_DECOCTION_METHOD
中药用药方法,TCD_MEDICATION_METHOD
诊疗过程描述,DIAG_TREAT_DESC
出院情况,DISHOSPITAL_SITUATION
出院时症状与体征,DISHOSPITAL_SIGNS
出院医嘱,OUTHOS_ADVIC
病情转归代码,UNDERLYING_DEATH_CODE
住院医师签名,INP_DOCTOR_SIGN
上级医师签名,SUPERIOR_DOCTOR_SIGN
签名日期时间,SIGN_DATETIME
